Word_Positive,Word_Negative,Bigram_Positive,Bigram_Negative,Length
2252,2280,0,13,153
981,487,11,0,22
1028,2161,33,17,93
3843,4312,285,234,58
1170,3046,0,9,248
2338,2353,84,0,166
1446,1629,10,0,131
228,994,0,8,53
301,275,0,0,65
1910,2598,0,27,113
3462,3881,0,16,55
3751,2900,46,12,55
2498,3690,658,883,258
1981,1127,7,0,54
1536,903,10,0,75
516,795,0,0,43
2070,2506,0,34,183
628,758,0,14,50
2676,3342,8,0,143
2190,2591,490,47,26
766,1290,0,0,91
3365,2991,18,9,221
2662,3990,0,0,88
204,276,0,0,14
2589,5098,0,0,115
3483,2550,514,147,171
2515,1370,7,0,91
268,187,0,0,37
539,534,0,0,54
2909,2772,24,23,87
930,1135,0,0,117
2879,4267,0,15,58
120,423,0,0,82
7628,7018,47,15,201
3706,5132,69,182,84
2839,1584,0,0,51
1424,1257,0,0,92
1300,1115,0,0,84
1253,1584,25,0,79
1705,760,0,0,139
385,92,0,0,6
4986,7223,15,33,155
449,713,180,251,14
3348,2812,0,0,90
1330,822,428,106,76
1035,2139,0,0,112
1231,1442,0,0,69
3666,3179,16,0,225
4768,6142,92,109,148
79,342,0,0,31
4679,7448,8,26,215
7621,9801,44,60,269
392,2294,0,169,47
430,288,0,0,35
1488,2653,8,8,297
403,475,0,0,58
1479,2017,0,35,36
787,2042,0,0,71
796,1182,0,0,154
2960,1946,8,0,104
573,1483,0,0,30
7075,8951,22,67,328
716,178,0,0,19
4519,6855,0,82,217
3053,3675,435,146,197
1587,983,0,0,121
3748,2371,0,0,341
1221,1719,12,0,64
280,310,0,0,36
2060,3054,13,36,88
224,449,0,0,27
6606,5760,505,156,232
4118,6569,10,78,183
1513,1532,0,8,172
734,809,26,64,70
754,543,0,0,47
1462,2434,0,0,259
374,173,0,0,38
2358,2953,39,0,297
666,1536,0,9,76
1154,1578,0,0,20
5759,8459,49,66,80
858,1657,0,0,30
3517,1415,8,0,156
1253,2286,0,0,27
4487,8338,10,112,153
316,1234,0,0,20
894,367,14,0,31
3176,3754,7,0,105
4131,5123,178,163,229
4895,7733,12,0,268
623,928,0,8,54
2985,6004,0,102,198
1351,697,7,0,45
2451,2261,0,24,56
71,106,0,0,29
5365,6117,24,87,227
0,0,0,0,31
735,827,0,0,22
219,222,0,0,20
1988,1662,8,0,97
737,1616,0,0,28
1835,2545,0,9,194
123,720,0,0,45
385,92,0,0,5
1671,1386,0,0,102
3264,2567,25,30,112
1266,1778,0,0,14
81,325,0,0,18
369,607,0,43,127
3450,4589,114,294,280
3072,1806,0,0,158
302,537,0,0,62
158,208,0,0,29
28,77,0,0,50
2692,3288,402,323,193
376,1450,0,0,29
0,67,0,0,19
4445,3669,670,235,233
1387,1590,274,338,139
724,1761,122,315,307
3885,2516,159,33,265
2282,1294,115,0,47
429,1471,0,26,76
3679,3852,70,20,105
336,619,0,10,10
1494,2238,29,36,18
1417,2456,0,0,229
1372,1147,442,47,9
2940,6327,9,77,114
8715,16926,47,151,291
1522,2658,0,18,67
2130,1324,490,170,63
8149,11316,114,303,342
600,1214,0,0,52
3288,2726,588,207,95
385,92,0,0,3
418,890,0,0,36
1851,3165,0,24,180
301,407,0,0,31
4553,5675,246,30,76
1124,778,0,0,55
4682,6183,8,36,224
430,1548,0,0,30
2429,4148,57,62,86
2365,4125,25,86,88
4142,2647,494,96,171
2139,3362,0,0,29
1248,2030,0,0,124
1677,1198,0,0,62
5862,9385,9,15,285
465,1255,0,0,181
1928,1137,225,221,80
4219,2934,53,0,182
1357,1741,0,0,35
5586,7806,23,50,138
1511,949,41,0,44
4054,4491,171,119,146
3401,4822,118,97,124
6878,7090,455,96,266
618,1356,0,0,21
2672,3066,0,40,76
2449,4567,134,300,89
4032,4103,208,102,178
643,1642,0,10,28
2489,4604,0,26,33
470,1064,0,0,36
1137,874,17,0,69
2475,3851,0,0,120
2275,2215,0,0,37
590,715,0,0,24
76,102,0,0,23
1968,2592,0,0,161
3247,3183,549,305,78
1091,654,23,15,65
3287,2765,18,9,67
281,1518,0,0,78
343,334,0,0,63
1694,663,17,0,21
1416,1401,47,29,26
2349,4127,0,0,84
678,1285,20,84,184
2932,2926,48,8,88
3293,4369,42,0,144
66,23,0,0,38
922,2171,0,0,182
3721,5973,10,63,72
8443,10289,140,24,205
3543,2618,109,20,37
925,1721,0,0,77
3607,6200,22,40,83
1893,682,10,0,82
320,752,0,0,33
3115,2184,617,147,202
4752,6849,63,137,174
638,2041,0,0,42
1163,903,0,0,39
2918,3356,763,959,145
1283,584,116,0,19
8911,6175,11,0,290
1210,980,8,0,47
3585,1817,10,0,111
200,220,0,0,26
892,2758,0,9,265
1130,1586,16,0,92
950,311,0,0,21
7615,6643,20,0,197
1587,1306,180,251,85
3756,5654,0,58,48
3051,5268,0,0,159
2216,2851,0,0,186
3647,6231,30,0,126
0,0,0,0,3
2127,1264,55,11,48
442,817,0,0,44
2551,4564,19,40,134
1687,793,939,296,62
650,347,0,0,45
0,0,0,0,8
2310,1865,33,9,73
2871,2916,15,25,78
3742,6427,30,0,130
252,1027,0,0,13
1951,1264,0,0,53
2817,3937,10,16,218
88,331,0,0,23
2901,1796,76,0,105
0,44,0,0,9
1100,770,45,0,45
1509,476,18,0,25
38,39,0,0,18
1666,604,428,96,47
5067,10240,18,71,279
6425,6683,73,69,242
6563,8728,29,71,181
580,171,9,0,22
1060,702,0,0,41
169,258,0,0,68
3151,2895,106,0,164
6635,10367,143,354,277
1167,1936,0,17,108
2014,4191,0,39,50
1704,1920,0,8,198
52,171,0,0,21
247,76,0,0,16
4120,2332,103,36,153
6260,10281,45,54,179
4154,4781,39,12,65
2030,3250,8,43,267
11427,14404,55,114,277
1227,791,22,0,42
1376,1325,11,0,53
0,0,0,0,6
493,489,0,0,25
3026,2451,65,26,197
0,0,0,0,2
537,1037,180,266,82
839,791,0,0,3
3370,5270,0,64,174
1537,1456,0,0,148
5325,6078,10,0,291
2044,2163,0,0,147
828,1943,0,0,223
3324,3223,8,32,263
369,823,0,60,46
24,415,0,0,28
4910,7338,37,56,230
411,371,0,0,52
3768,3930,10,12,70
2268,910,8,0,98
1733,1154,0,0,29
8080,8278,141,269,268
1568,1130,0,0,84
153,430,0,0,41
2763,1722,60,13,103
1093,1237,0,0,91
1159,1912,0,0,115
3338,1572,14,0,223
428,551,0,0,63
467,550,0,0,94
253,244,0,0,31
265,255,0,0,25
1327,1217,0,0,69
5487,9364,61,77,133
3208,2590,48,14,82
1771,1579,63,33,97
4593,6916,180,251,131
1456,1381,189,212,57
1450,235,0,0,16
3409,1449,8,0,98
3168,1894,121,30,106
2052,2930,274,338,203
